platformId;programId;programUrl;programTitle
DE;4655;aktion.congstar.de;congstar - Du willst es. Du kriegst es.
DE;4659;lastminute.de;lastminute.de
DE;4661;daenischesbettenlager.de;Dänisches Bettenlager
DE;4664;jugendreise.de;Jugendreise.de
DE;4667;dkb.de;DKB-Partnerprogramm
DE;4668;hansemerkur.de;Hanse Merkur Versicherungsgruppe
DE;4669;shop.lexware.de;Lexware Online Shop
DE;4672;nici-shop.de;Der offizielle NICI Shop
DE;4673;smava.de;smava-Kreditvergleich
DE;4690;deine-tierwelt.de;Deine Tierwelt
DE;4697;nix-wie-weg.de;Nix-wie-weg.de
DE;4712;falke.com;FALKE Online-Shop
DE;4722;eprimo.de;eprimo - der energiediscounter
FR;4730;chaussettes.com;chaussettes.com
FR;4794;b-one.net;One.com
FR;4799;adnauto.fr;ADN-Auto
DE;4823;orsay.com;ORSAY - Feminine Style
DE;4837;konzertkasse.de;Konzertkasse – Tickets im bundesweiten Vorverkauf
FR;4840;zooplus.fr;Zooplus.fr
DE;4851;hifi-regler.de;HIFI-REGLER - Spezialversand für Hifi und Heimkino
DE;4867;check24.de;CHECK24 - Partnerprogramm
FR;4876;ski-planet.com;Ski-planet
DE;4931;tiscover.com;Tiscover - Hotels, Hütten, Last Minute
DE;4938;wuestenrotdirect.de;Wüstenrot & Württembergische AG
DE;4952;autoteilestore.com;AutoteileStore.com
FR;5010;pixum.fr;Pixum.fr
DE;5031;dogadoo.de;dogadoo.de - Schönes und Nachhaltiges für Hunde!
FR;5037;assurlandpro.com;Assurland Pro
DE;5050;lidl.de;Lidl - Online-Shop, Reisen, Fotos & Blumen
DE;5051;1-2-3.tv;1-2-3.tv - Deutschlands erster Schnäppchensender!
DE;5077;gameduell.de;GameDuell
DE;5080;akad.de;AKAD –  privater Fernhochschulverbund
DE;5081;betreut.de;Betreut.de - Wir helfen Familien
DE;5104;urlaub.de;Urlaub.de – endlich Urlaub!
DE;5121;limango.de;limango - Topmarken immer 30-70% reduziert
DE;5124;toptarif.de;TopTarif.de- DAS Portal für Tarifvergleiche !
DE;5144;apollon-hochschule.de;Apollon Hochschule für Gesundheit
DE;5156;shirtinator.de;Shirtinator.de - T-Shirt Druck
DE;5162;dhd24.com;dhd24.com - der große Markt für Kleinanzeigen
DE;5167;blue-tomato.com;Blue Tomato - Wintersport , Trendsport & Fashion
DE;5211;roche.de;Roche Onkologie - Innovative Krebstherapien
DE;5217;hannoversche.de;Hannoversche Leben
NL;5237;blue-tomato.com;Blue Tomato
DE;5247;e-wie-einfach.de;E WIE EINFACH
DE;5261;rebuy.de;reBuy.de  - Der einfache An- und Verkaufshop
DE;5289;eurocamp.de;Eurocamp - Der kinderliebe Familienurlaub
DE;5294;sunweb.de;Sunweb.de Reisen
DE;5333;euronics.de;EURONICS - Best of Electronics
DE;5334;formblitz.de;FORMBLITZ- Verträge Vorlagen & Ratgeber downloaden
DE;5343;wenz.de;Versandhaus Wenz
DE;5350;mmoga.de;MMOGA - Vermittler von virtuellen Gütern & CD-Keys
DE;5402;starmoney.de;StarMoney - die Online Banking Software No.1
DE;5408;breuer-versand.de;Breuer Versand für die Milchverarbeitung
UK;5409;doylecollection.com;The Doyle Collection
NL;5462;magix.com;MAGIX software voor foto-, video- &muziekbewerking
FR;5490;magix.com;MAGIX : le numéro 1 du logiciel multimédia
DE;5494;c-and-a.com;C&A Online Deutschland
DE;5504;framily.de;Framily – personalisierte Kinderbücher
UK;5515;media.mybet.com;MyBet - sports betting, casino and poker
DE;5562;intersport-jena.de;INTERSPORT Jena
DE;5571;de.dawanda.com;DaWanda - Online-Marktplatz für Selbstgemachtes
DE;5573;entega.de;ENTEGA Energie
DE;5582;mediashop.tv;Mediashop - As seen on TV
DE;5597;c-date.de;c-date - Casual Dating
DE;5643;zalando.de;zalando.de - Schuhe und Fashion online
DE;5648;bucher-reisen.de;Bucher Reisen
DE;5649;neckermann-reisen.de;Neckermann-Reisen.de - Neckermann macht´s möglich!
DE;5656;m-net.de;M-net: mit M-net günstig surfen & telefonieren!
NL;5659;neckermann.nl;Neckermann Reizen NL
NL;5660;vrijuit.nl;Vrij Uit
DE;5727;maxxim.de;maXXim
DE;5729;hessnatur.com;hessnatur Onlineshop - Naturtextilien Versand
DE;5777;mercedes-benz-bank.de;Mercedes-Benz Bank
DE;5859;swiss.com;Swiss - einfach fliegen
DE;5860;sheego.de;sheego.de
DE;5873;ewe.de;EWE.de - Telekommunikation
DE;5875;def-shop.com;DefShop.com – Street- und Urbanwear online!
DE;5876;vvk-volkskredit.de;VVK Volkskredit - Kreditvermittlung
DE;5895;vitalsana.com;Vitalsana Versandapotheke
DE;5897;de.m2p.com;M2P.com - Online Spiele kostenlos
DE;5902;wb-fernstudium.de;wb-fernstudium.de - Wilhelm Büchner Hochschule
DE;5913;nethosting24.de;nethosting24.de- IT-Lösungen & Services On Demand
DE;5923;1blu.de;1blu - Professionelle Webhosting-Lösungen
DE;5926;kraehe.de;Krähe Versand
DE;5938;strato.de;STRATO AG
FR;5943;keller-sports.fr;Keller Sports
DE;5948;religioese-geschenke.de;Religiöse-Geschenke.de - Moderne Geschenke
DE;5949;outdoor-renner.de;Outdoor Renner - Outdoor Onlineshop
FR;5954;easy-devis.fr;Easy-devis
DE;5957;world-of-western.de;World of Western
DE;5968;mona.de;Versandhaus Mona
FR;5976;condozone.fr;Condozone
DE;5992;zdf-shop.de;ZDF Shop - DVDs, Bücher, Mainzelmännchen uvm.
DE;6018;fernuni-hagen.de;IWW - Weiterbildung im Fernstudium
DE;6069;fotopost24.de;Fotopost24 - digitale Fotoentwicklung
DE;6070;gamed.de;gamed!de - Gameserver
DE;6121;markenkoffer.de;Markenkoffer.de Reise- und Businessgepäck
DE;6123;otto-office.de;OTTO Office
DE;6128;porzellantreff.de;Porzellantreff.de - Markenporzellan & mehr
DE;6136;discosurf.de;discoSURF
DE;6146;edarling.de;eDarling.de - Jetzt den Partner für´s Leben finden
DE;6152;ocean24.de;Ocean24 - Fähren einfach online buchen
DE;6159;zooroyal.de;ZooRoyal - der Onlineshop für Ihr Haustier
DE;6188;discotel.de;discotel.de
DE;6274;sparhandy.de;sparhandy.de – DIE Flatrate-Experten
DE;6277;wolfordshop.de;Wolford Online-Boutique
DE;6288;eddiebauer.de;Eddie Bauer - Outdoor Freizeitbekleidung
DE;6311;musicmonster.fm;musicmonster.fm
DE;6319;mymms.de;My M & Ms
DE;6327;witt-weiden.de;witt-weiden.de
DE;6329;meevio.de;meevio - Wein und Feinkost einfach genießen
DE;6337;bambinoworld.de;BAMBINOWORLD - Von Eltern. Für Eltern.
DE;6352;webgo.de;webgo.de - Webspace, Domains und Server
DE;6368;rockabilly-clothing.de;Rockabilly Clothing
FR;6387;grosbill.com;GrosBill
FR;6399;bambinoworld.fr;BambinoWorld - FR
DE;6416;lablue.de;lablue - Chat & Partnersuche dauerhaft kostenlos
DE;6421;lampenwelt.de;Lampenwelt - über 50.000 Lampen und Leuchten!
DE;6423;daparto.de;DAPARTO - Der Autoteile-Preisvergleich
DE;6425;fotopuzzle.de;fotopuzzle.de – Fotopuzzles, Fotobücher, Geschenke
DE;6433;nolimits24.de;NoLimits24 Erlebnisagentur
DE;6461;aktivshop.de;aktivshop.de - Fitness, Gesundheit, Wellness
DE;6466;brands4friends.de;brands4friends
DE;6467;euro-fh.de;Europäische Fernhochschule Hamburg (Euro-FH)
DE;6476;consorsbank.de;Consorsbank
DE;6512;handwerker-versand.de;handwerker-versand.de
DE;6514;humanic.net;HUMANIC - humanic.net
DE;6519;globaltestmarket.com;Global Market Insite Umfrage
DE;6520;codello.de;FashionNet
DE;6543;wunderkarten.de;Wunderkarten.de
UK;6559;tyres-pneus-online.co.uk;Tyres Pneus Online
FR;6573;happyview.fr;Happyview
DE;6601;payangocard.de;PAYANGO die Prepaid Visa Cards der LBBW
DE;6602;bofrost.de;bofrost* - Frische & Genuss tiefgekühlt ins Haus
DE;6608;bildmobil.de;BILDmobil - D-Netz Prepaid Angebot
NL;6614;pixum.nl;Pixum
DE;6618;frankonia.de;Frankonia - Ausrüster für Jagd & Sportschützen
FR;6621;fraisedesbois.com;Fraise des bois
DE;6622;beauty24.de;beauty24 - Wellness-Urlaub
DE;6624;OnMySkin.de;onmyskin.de
DE;6625;go.babbel.com;BABBEL.com - Einfach Sprachen lernen
DE;6638;ibood.com;iBOOD.de Internet´s Best Online Offer Daily
DE;6646;desiary.de;desiary.de Store für Design und Manufakturartikel
DE;6654;zurrose.de;Zur Rose Apotheke
DE;6668;hunkemoller.de;Hunkemöller - Internationale Lingerie
DE;6669;leuchtenzentrale.de;LeuchtenZentrale - Fachmarkt für Leuchten & Lampen
FR;6677;bobshop.com;Bobshop.fr
