platform;programId;trackingLink;params;redirector
DE;14506;http://partners.webmasterplan.com/click.aspx?site=14506&ref=[ref]&type=text&tnb=20&diurl=[deeplink];;
DE;10953;http://partners.webmasterplan.com/click.aspx?site=10953&ref=[ref]&type=text&tnb=83&diurl=[deeplink];;
DE;4659;http://partners.webmasterplan.com/click.aspx?site=4659&ref=[ref]&type=text&tnb=214&diurl=[deeplink];;
DE;13233;http://partners.webmasterplan.com/click.aspx?site=13233&ref=[ref]&type=text&tnb=103&diurl=[deeplink];;
DE;3578;http://partners.webmasterplan.com/click.aspx?site=3578&ref=[ref]&type=text&tnb=138&diurl=[deeplink];;
DE;14417;http://partners.webmasterplan.com/click.aspx?site=14417&ref=[ref]&type=text&tnb=13&diurl=[deeplink];;
DE;16571;http://partners.webmasterplan.com/click.aspx?site=16571&ref=[ref]&type=text&tnb=21&diurl=[deeplink];;
DE;6466;http://partners.webmasterplan.com/click.aspx?site=6466&ref=[ref]&type=text&tnb=91&diurl=[deeplink];utm_campaign=linkgenerator;
DE;16614;http://partners.webmasterplan.com/click.aspx?site=16614&ref=[ref]&type=text&tnb=12&diurl=[deeplink];;
DE;16496;http://partners.webmasterplan.com/click.aspx?site=16496&ref=[ref]&type=text&tnb=11&diurl=[deeplink];;
DE;16522;http://partners.webmasterplan.com/click.aspx?site=16522&ref=[ref]&type=text&tnb=4&diurl=[deeplink];;
DE;16523;http://partners.webmasterplan.com/click.aspx?site=16523&ref=[ref]&type=text&tnb=4&diurl=[deeplink];;
DE;2579;http://partners.webmasterplan.com/click.aspx?site=2579&ref=[ref]&type=text&tnb=158&diurl=[deeplink];id=affilinet;
DE;2841;http://partners.webmasterplan.com/click.aspx?site=2841&ref=[ref]&type=text&tnb=63&diurl=[deeplink];;
DE;16378;http://partners.webmasterplan.com/click.aspx?site=16378&ref=[ref]&type=text&tnb=33&diurl=[deeplink];;
DE;16597;http://partners.webmasterplan.com/click.aspx?site=16597&ref=[ref]&type=text&tnb=25&diurl=[deeplink];;
DE;2347;http://partners.webmasterplan.com/click.aspx?site=2347&ref=[ref]&type=text&tnb=174&diurl=[deeplink];;
DE;15750;http://partners.webmasterplan.com/click.aspx?site=15750&ref=[ref]&type=text&tnb=46&diurl=[deeplink];pid=affilinet&idcamp=114;
DE;3511;http://partners.webmasterplan.com/click.aspx?site=3511&ref=[ref]&type=text&tnb=154&diurl=[deeplink];src=affilinet;
DE;10638;http://partners.webmasterplan.com/click.aspx?site=10638&ref=[ref]&type=text&tnb=25&diurl=[deeplink];partner=-1;
DE;13117;http://partners.webmasterplan.com/click.aspx?site=13117&ref=[ref]&type=text&tnb=20&diurl=[deeplink];;
DE;14070;http://partners.webmasterplan.com/click.aspx?site=14070&ref=[ref]&type=text&tnb=18&diurl=[deeplink];;
DE;9309;http://partners.webmasterplan.com/click.aspx?site=9309&ref=[ref]&type=text&tnb=54&diurl=[deeplink];utm_source=affilinet&utm_medium=cpl&utm_campaign=affilinet-deeplink;
DE;3719;http://partners.webmasterplan.com/click.aspx?site=3719&ref=[ref]&type=text&tnb=139&diurl=[deeplink];cm_mmc=affiliate-_-Affilinet-_-Deeplinktool-_-noiff;
DE;4931;http://partners.webmasterplan.com/click.aspx?site=4931&ref=[ref]&type=text&tnb=41&diurl=[deeplink];;
DE;11974;http://partners.webmasterplan.com/click.aspx?site=11974&ref=[ref]&type=text&tnb=45&diurl=[deeplink];lang=de_DE&etcc_med=Affiliate&etcc_grp=affiliate&etcc_par=affili.net&etcc_ctv=link-generator-camper&etcc_tar=affiliate-lp&pk_campaign=link-generator-camper&pk_kwd=affilinet;
DE;9840;http://partners.webmasterplan.com/click.aspx?site=9840&ref=[ref]&type=text&tnb=373&diurl=[deeplink];cm_mmc=affiliate-_-Affilinet-_-Deeplinktool-_-noiff;
